
Codes	Titles	Total Marketable US Businesses
11	Agriculture, Forestry, Fishing and Hunting	389,628
1111	Oilseed and Grain Farming	64,488
111110	Soybean Farming	5,138
111120	Oilseed (except Soybean) Farming	214
111130	Dry Pea and Bean Farming	3,908
111140	Wheat Farming	7,753
111150	Corn Farming	29,790
111160	Rice Farming	1,042
111191	Oilseed and Grain Combination Farming	0
111199	All Other Grain Farming	16,643
1112	Vegetable and Melon Farming	4,926
111211	Potato Farming	663
111219	Other Vegetable (except Potato) and Melon Farming	4,263
1113	Fruit and Tree Nut Farming	12,044
111310	Orange Groves	238
111320	Citrus (except Orange) Groves	709
111331	Apple Orchards	1,795
111332	Grape Vineyards	2,639
111333	Strawberry Farming	314
111334	Berry (except Strawberry) Farming	1,096
111335	Tree Nut Farming	1,560
111336	Fruit and Tree Nut Combination Farming	235
111339	Other Noncitrus Fruit Farming	3,458
1114	Greenhouse, Nursery, and Floriculture Production	12,609
111411	Mushroom Production	357
111419	Other Food Crops Grown Under Cover	664
111421	Nursery and Tree Production	6,160
111422	Floriculture Production	5,428
1119	Other Crop Farming	140,396
111910	Tobacco Farming	2,104
111920	Cotton Farming	3,468
111930	Sugarcane Farming	180
111940	Hay Farming	2,912
111991	Sugar Beet Farming	497
111992	Peanut Farming	388
111998	All Other Miscellaneous Crop Farming	130,847
1121	Cattle Ranching and Farming	50,218
112111	Beef Cattle Ranching and Farming	17,793
112112	Cattle Feedlots	11,238
112120	Dairy Cattle and Milk Production	21,187
112130	Dual-Purpose Cattle Ranching and Farming	0
1122	Hog and Pig Farming	4,460
112210	Hog and Pig Farming	4,460
1123	Poultry and Egg Production	3,866
112310	Chicken Egg Production	581
112320	Broilers and Other Meat Type Chicken Production	1,003
112330	Turkey Production	621
112340	Poultry Hatcheries	658
112390	Other Poultry Production	1,003
1124	Sheep and Goat Farming	1,393
112410	Sheep Farming	900
112420	Goat Farming	493
1125	Aquaculture	1,738
112511	Finfish Farming and Fish Hatcheries	1,336
112512	Shellfish Farming	93
112519	Other Aquaculture	309
1129	Other Animal Production	37,010
112910	Apiculture	1,473
112920	Horses and Other Equine Production	3,906
112930	Fur-Bearing Animal and Rabbit Production	390
112990	All Other Animal Production	31,241
1131	Timber Tract Operations	2,146
113110	Timber Tract Operations	2,146
1132	Forest Nurseries and Gathering of Forest Products	991
113210	Forest Nurseries and Gathering of Forest Products	991
1133	Logging	8,344
113310	Logging	8,344
1141	Fishing	1,162
114111	Finfish Fishing	518
114112	Shellfish Fishing	464
114119	Other Marine Fishing	180
1142	Hunting and Trapping	2,296
114210	Hunting and Trapping	2,296
1151	Support Activities for Crop Production	13,051
115111	Cotton Ginning	636
115112	Soil Preparation, Planting, and Cultivating	4,565
115113	Crop Harvesting, Primarily by Machine	1,954
115114	Postharvest Crop Activities (except Cotton Ginning)	2,172
115115	Farm Labor Contractors and Crew Leaders	590
115116	Farm Management Services	3,134
1152	Support Activities for Animal Production	23,173
115210	Support Activities for Animal Production	23,173
1153	Support Activities for Forestry	5,317
115310	Support Activities for Forestry	5,317
21	Mining, Quarrying, and Oil and Gas Extraction	32,950
2111	Oil and Gas Extraction	5,894
211120	Crude Petroleum Extraction	5,440
211130	Natural Gas Extraction	454
2121	Coal Mining	732
212111	Bituminous Coal and Lignite Surface Mining	544
212112	Bituminous Coal Underground Mining	137
212113	Anthracite Mining	51
2122	Metal Ore Mining	757
212210	Iron Ore Mining	90
212221	Gold Ore Mining	361
212222	Silver Ore Mining	41
212230	Copper, Nickel, Lead, and Zinc Mining	153
212291	Uranium-Radium-Vanadium Ore Mining	58
212299	All Other Metal Ore Mining	54
2123	Nonmetallic Mineral Mining and Quarrying	5,604
212311	Dimension Stone Mining and Quarrying	478
